episode,time,reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,0.19999999999999998,17664.466328672897,-0.3363399434539931,0.16981914537994997,10.018704835807663,4.514481976896789,2.671897123323543,0.0,-3.6601276376976672,2.0589634243558574,-0.07353624493685765,-10.424420483603718,-8.280168597765028,0.0,885.9309459401574,763.477257446224,594.5678093853937,302.03040089766785
1,0.4000000000000001,3290.6399915588668,-1.4360027480464534,0.9060775201189966,9.759114797832419,3.961747273777034,1.0746926407841535,0.0,-7.841218478603972,4.183921340659192,-2.5467996417516634,-16.68963490904924,-10.70113956677227,0.0,892.1466669363338,808.7837587406332,603.996766285693,190.29349843070943
1,0.6000000000000002,1811.0371067688502,-3.2963371028161967,1.8203182082300344,8.782638756610856,0.5716123494093717,5.697178080052922,0.0,-9.52962667759488,6.4188222336157335,-6.170967383744519,-17.878140118041028,-8.524472493064176,0.0,886.739766329415,862.9514538970858,598.9425501355241,196.01669454541326
1,0.8000000000000004,1345.5838500895525,-4.828894931803734,3.122004873182173,7.5668403363085535,3.323588044223584,3.942312397807516,0.0,-5.3880691497276585,6.767851000762138,-6.5033994763177905,-17.554015055630927,-9.637611293400864,0.0,882.8557668723656,821.1555772920797,591.9135552955345,229.44815661445062
1,1.0000000000000004,1243.6949246492252,-5.495753704216419,4.347699194589313,6.252200764399542,6.071121842872747,4.064328960842891,0.0,-1.096598624677876,5.095209982343192,-7.97000558250825,-19.201856660544244,-4.241289743753601,0.0,849.6857670909915,889.2529894418619,621.0466960584869,122.74113084698925
1,1.2000000000000006,1250.3908797489319,-5.224021977895538,5.474730530444065,4.329927013518549,2.312700643142115,5.221252473150546,0.0,3.8733392119695593,6.01762712534981,-11.097207783566137,-18.66560703137073,1.2271759612586566,0.0,805.8907766305731,874.0082000422783,605.496161536964,176.28523928091116
1,1.4000000000000008,1224.4532153332518,-4.515817758467748,6.725105103895308,1.823262395183112,0.4816020790493809,4.632571057730011,0.0,3.5037265527389665,5.209677223930994,-13.780163908019505,-13.89730838794428,10.627308344999712,0.0,745.8413870995453,895.9768895061688,401.69121496533626,127.36648345907216
1,1.600000000000001,1170.079759005637,-3.8167832027625876,7.834646971766446,0.0,4.025302357035059,4.2074799594838765,0.0,3.2177866985396455,6.834157431975848,-15.542550723115436,-16.143461674954086,17.7723209073542,0.0,647.3226498283065,887.7269861461755,565.2755866648979,214.4498487808157
2,0.19999999999999998,17685.998907464695,-0.3368830102533502,0.17231197096393758,10.00981885585133,4.526169214649411,2.6000906046161028,0.0,-3.738508725337374,2.0326394191526735,-0.19970147170751032,-10.436395383883339,-8.183058135586055,0.0,884.7025956629635,763.7828716077823,594.8494601513632,302.01212047306865
2,0.4000000000000001,3254.2467726930536,-1.4759392697296534,0.8752875286792198,9.726806072811344,3.9706036243041094,1.010331523583896,0.0,-8.07384725899155,3.8544585896063936,-2.664649015417709,-16.70029833519615,-10.523584154158183,0.0,890.7855254202836,810.0032337610957,604.746487968991,191.9076799259684
2,0.6000000000000002,1792.2067644856609,-3.354508904035909,1.7187572946477625,8.70875574277614,0.5765904994402575,5.60258628119443,0.0,-9.415241219578379,6.056127220155102,-6.441338404535271,-17.816998901585244,-8.547222325192248,0.0,886.9710747163567,861.4545029033462,597.9648325987094,199.73978570707996
2,0.8000000000000004,1345.083911973232,-4.82325405004973,2.9456485300457693,7.4305250936384635,3.243869206499582,4.172710614803574,0.0,-4.86625693319766,6.276688389563627,-6.902039604489111,-18.989910013964955,-7.010171554284116,0.0,883.261529103376,868.79134873694,618.2084442916102,150.54203398762266
2,1.0000000000000004,1259.829720386057,-5.347755555903753,4.064671655513504,5.961196940774798,5.771317180314162,4.143606112535444,0.0,-0.2873054736287126,4.83457209347181,-8.923334081046113,-18.68456876344684,-2.6849136888687832,0.0,848.2863776433868,888.3556228114455,594.3880637489127,124.02533876646584
2,1.2000000000000006,1264.8459214124164,-4.935111771475425,5.109937297891136,3.857690108800307,2.116688890150485,5.760585187820254,0.0,4.065734142469784,5.542694053341891,-12.355480629457462,-18.142543265912764,3.024676145795282,0.0,786.111242833455,861.7070059509404,586.1922147317537,164.25753701001832
2,1.4000000000000008,1218.4173117599257,-4.2665597892436,6.258916161504516,1.1368500644744233,0.5090285182557341,4.541202996313739,0.0,3.3118279269773434,4.574506556508632,-14.762752957971394,-13.170149723576237,11.383146389383434,0.0,748.0372939246168,893.9739829490777,371.7361885837126,126.94032519545851
2,1.600000000000001,1180.539221747579,-3.6023497697351106,7.228659691856832,0.0,4.107281581325552,4.154797690900471,0.0,3.0043342638496298,6.057064681778976,-16.69213450041795,-14.387293626654495,18.35827825923858,0.0,632.9555393246989,886.6296282640596,499.54558405407715,190.0627907925896
3,0.19999999999999998,17689.727795629,-0.33629414039487937,0.16985797516901888,10.01662255534492,4.504339982751052,2.6484764388337467,0.0,-3.6836495236928486,2.0372651190636715,-0.09722064878096527,-10.414019433314694,-8.248642395029606,0.0,885.3874087006221,763.4089442339385,594.0478673044228,301.50527659757796
3,0.4000000000000001,3284.2917493863683,-1.4470420551856455,0.8964693185133528,9.756495200773028,3.9534584981751415,1.064974119861084,0.0,-7.905214369375183,4.1113747633393665,-2.5433796240773114,-16.67939407901652,-10.717203056837208,0.0,892.5187073843557,808.6168755001471,604.1296606085037,191.47414906364006
3,0.6000000000000002,1807.3330298308097,-3.308256037557703,1.799435780994322,8.775986403220294,0.5641632225398387,5.628514953560362,0.0,-9.41467680209339,6.360005233142322,-6.200949359874873,-17.821101316004206,-8.71256168474914,0.0,888.236766492624,861.2103572074103,597.0200999185545,196.04036783301726
3,0.8000000000000004,1348.7591657698406,-4.797861759949517,3.0991474857737673,7.537180480290287,3.3280197714034223,3.835301375404832,0.0,-5.1697138717948325,6.9119862102597835,-6.581987167834663,-17.493813078117647,-9.773610330655425,0.0,882.9932261376622,820.2326808585352,591.3885978409852,232.63684374040403
3,1.0000000000000004,1247.8565152651138,-5.448981824189627,4.345284060513294,6.229435912825439,6.094512648206224,4.033593785334727,0.0,-1.1115624262268125,5.114715516694828,-7.928737620542778,-19.216695057078216,-4.224355677149737,0.0,848.8131867649724,889.7885732835151,621.9369096033023,122.83868966650799
3,1.2000000000000006,1252.4965603443413,-5.1847729974301595,5.481293534301367,4.309280109249192,2.3223680212495257,5.210756243149714,0.0,3.84420535956211,6.08205923877549,-11.073082122768318,-18.739465727155192,1.2707626998941248,0.0,806.1994000934195,874.6738665892827,608.0570658635137,176.26026445703843
3,1.4000000000000008,1223.92976430282,-4.485067106693749,6.7519316148271,1.8021480796511293,0.43511375361339866,4.511201146460261,0.0,3.3335262215269656,5.314163044394978,-13.872351076480118,-14.037476657399726,10.558155900807803,0.0,748.6117335449086,896.7262371366189,407.32696941838714,126.5792645970253
3,1.600000000000001,1167.3617818984928,-3.812987163173481,7.871818218435813,0.0,3.9601517847379366,4.145928323795641,0.0,3.010791631582768,6.919420322433191,-15.545089100162654,-16.342384691715743,17.783555077249652,0.0,648.1058006733846,888.9437574473704,573.9589548009012,222.10912050413927
4,0.19999999999999998,17711.298736095025,-0.33362782567714666,0.16464792953981064,10.031081285932949,4.48892739347991,2.774310726537985,0.0,-3.5224493486755883,2.068217166194751,0.10876381157304596,-10.39818160208761,-8.416393589626232,0.0,886.561103449985,761.7697439636959,593.4569482859329,301.09873424486733
4,0.4000000000000001,3365.13938605841,-1.3738008349391801,0.9346369276159913,9.814318927474343,3.922502380247563,1.1391062572546398,0.0,-7.493809213127371,4.525889154528632,-2.3116669819188207,-16.633896263794135,-10.765125977593655,0.0,892.233198156867,808.7163479911237,602.3850954814603,190.1459252233499
4,0.6000000000000002,1853.0108733473558,-3.1806181248856267,1.9293169013064708,8.898173296838587,0.5483079185690176,5.708174629059652,0.0,-9.322129539828046,6.823547403278804,-5.808103237292062,-17.953125154015936,-8.714119772597215,0.0,888.6398071801964,861.9594344317173,600.4995944693485,191.58721698134866
4,0.8000000000000004,1369.4540788680843,-4.667049255112663,3.308445300843045,7.759224975962959,3.2707149233583976,3.914354514413894,0.0,-5.13978872244151,7.163088306370618,-6.080699709711831,-17.725889186181366,-9.686674303214788,0.0,883.5358332911428,822.4939114132615,595.8062136054025,224.97474862751614
4,1.0000000000000004,1264.0492343606886,-5.305262820594316,4.5839903752159765,6.5457793834057565,6.041871354526646,3.8596220653392734,0.0,-1.1812242212614035,5.148781830003843,-7.619127146552783,-19.85352537123083,-4.554730891543135,0.0,855.4255969866874,890.2930575430765,642.9807550958312,123.43719870688328
4,1.2000000000000006,1265.7690034347652,-5.122496505976378,5.835408430464187,4.718050206328888,2.057236839202343,4.442936481361997,0.0,3.3589259636972235,6.852224247837186,-9.57741338858335,-19.976770328665243,0.048079162743571935,0.0,818.785740880165,873.9221501425092,648.2529420416988,175.41353447944525
4,1.4000000000000008,1244.1812471824524,-4.333178393730967,7.379701036293371,2.6280598739943963,6.040660031047875,2.9232192403647694,0.0,2.728099380465088,8.130384411934081,-11.72681891527487,-15.591778996660226,8.832948855515037,0.0,764.2718383782214,894.6723995769938,468.87972818197784,136.13317049812557
4,1.600000000000001,1165.6926735394063,-3.7606357234654655,8.994410933427258,0.012656358442251237,2.917763000816624,2.3504556447661944,0.0,2.3426288559856507,7.92207481424707,-14.562735675435922,-15.63279409485756,21.114120396970335,0.0,523.4230625413193,894.301764679276,511.2417595965486,151.60960566841263
4,1.8000000000000012,1156.889458390716,-3.161046740335611,10.662796253697046,0.0,6.0623489267739155,1.5301989217701983,0.0,2.6378003772093677,9.16634034660221,-14.552323659460464,-17.442104746763047,15.61124405789689,0.0,772.5073018183886,889.0650655154586,581.0087472912311,163.85567882431152
5,0.19999999999999998,17872.838751551993,-0.2595083451039804,-0.0920503376068598,9.87940871884183,0.9273850737273666,3.8304421370061306,0.0,-1.4707359785833825,-1.9093108780914547,-2.858353107184492,-5.330100668904991,-9.693331724569836,0.0,887.3199616238619,738.954096177023,554.8108283454726,427.7212729653905
5,0.4000000000000001,4494.296653132239,-0.08417166121682802,-0.5999328405079954,8.98020088626251,6.168274094073522,3.6259527397664293,0.0,3.172307886649323,-2.7576003587685407,-6.371662270202299,-7.482279013305287,-16.315771061691105,0.0,897.1472729548267,695.1195248138681,530.5185003144528,440.69240120921177
5,0.6000000000000002,2451.026231187774,0.4287712079010193,-1.1629544097900355,7.169156436259575,0.5058678443899804,0.31844141568940465,0.0,0.8281697184745238,-2.705324792504228,-10.285814085069688,-1.9132917643548764,-17.69942309465674,0.0,895.7033212370104,697.5874800781976,396.43376965758864,504.15797452829526
5,0.8000000000000004,1651.1173365444117,0.8025996284075722,-1.616036917356057,4.948452620673533,0.15868331758175636,3.0264350509977085,0.0,3.6503478089325876,-1.6026172914251542,-12.237904897795305,12.865841547848975,-19.215533832190495,0.0,885.9822671056384,644.2528655844719,378.81132689116475,715.8975453513763
5,1.0000000000000004,1322.6441421764612,1.242635025044794,-2.0831963867412377,2.3319734120430753,0.5156539313462041,0.10642713900622613,0.0,0.322705670861696,-2.731805322740879,-13.179859988904093,20.174362486249986,-16.172864898094282,0.0,860.199108078551,713.7476504915854,285.36279653847424,728.5584367006709
5,1.2000000000000006,1155.7848692702664,1.3781629035973662,-2.40433950811664,0.0,4.704332624644405,4.715961607574485,0.0,1.8855407716383024,-1.4033353411472005,-16.040305623321427,17.412069953087613,-11.829302600979325,0.0,774.501760737122,713.466101911524,247.16196082660247,579.7226813789572
6,0.19999999999999998,16186.483192567572,-0.07684312234262004,0.06034149191199497,9.882748916314062,0.8381943055968559,5.6963814898239935,0.0,1.526008835925023,-0.1561605794058438,-0.9826382276726024,15.108187070540557,-11.562135705472409,0.0,880.6207211633134,692.6339564083497,602.8520025128527,878.0267310240498
6,0.4000000000000001,8733.230206339282,0.5360951917436496,0.23647165132204478,9.281820039313535,5.895682741359629,4.577578022380191,0.0,5.399218021334464,-0.030890101000890693,-4.944367526319189,19.98604310774912,-17.19137990671061,0.0,893.9042377880244,679.9898254067463,603.8349107240132,887.4105397613254
6,0.6000000000000002,2784.9949478072203,2.0784978990925493,-0.06621714292089188,8.041105015750901,3.635529640254589,2.0060770591767323,0.0,7.498431678785678,-3.217689745866526,-5.661488737905679,17.90845694813997,-14.197931927647591,0.0,894.2772969072709,794.2917641407003,689.5542324320646,879.1045413063404
6,0.8000000000000004,1892.070089986493,3.0227534988047187,-0.8404248162481692,6.92957317249877,0.8941893649452677,5.416019200159042,0.0,4.0504656482676324,-4.369018438757808,-4.1178065469814475,17.464438550117475,-14.570014212035732,0.0,883.7415100068418,755.4803266627346,692.9026258613827,879.6286267648629
6,1.0000000000000004,1713.5781538702477,4.447089321834207,-1.4440896635547193,5.983554989805527,0.008830221115390557,2.8255368184119014,0.0,9.101716259421146,-1.1454231182336758,-6.539564857173729,22.035949909850217,-12.968525866550136,0.0,893.2652988445615,806.6908895745819,527.7648484284671,882.2153432332583
6,1.2000000000000006,1486.9497421052843,5.770775781892205,-1.8753299510793715,4.186688285769749,4.48116967415014,0.298740620440463,0.0,3.6816825865512066,-3.151941325150138,-11.12652195082905,19.766180790847894,-12.48036014877763,0.0,893.5555411517172,807.5569162336581,581.6014034577369,839.3555883469012
6,1.4000000000000008,1337.5828019431156,6.6677358426578905,-2.8116485950971644,1.94837904534301,2.3694204335942803,4.034854881850151,0.0,6.693232063563854,-5.055145375426505,-11.1464501521179,20.88881857607532,-13.679679788882716,0.0,866.9817814536391,746.5920171814031,360.4901814429572,749.4119834697041
6,1.600000000000001,1202.1575266928771,8.332370272139064,-3.64355581910069,0.0,0.6780552911665438,2.3248131608688833,0.0,8.263744104224669,-2.7746403140010734,-13.27186729195957,22.613902751104117,-10.237630840572445,0.0,863.2769957041279,826.7922168694998,414.70472721099594,824.0961509590612
7,0.19999999999999998,8039.899542152769,-0.0015728254982462523,0.06879350078991504,10.717737033969732,0.36079360341666344,6.242208485551622,0.0,0.031509592272230116,1.1857495739091386,7.030635943974702,1.9240404596388794,-0.882734667432055,0.0,876.3897051330578,865.1964899000045,871.9759984379817,896.3296733118593
7,0.4000000000000001,1876.1353430897575,0.08235647735645649,0.6979619209983143,12.709511032963695,0.7451727499586136,6.023709445828764,0.0,1.0772185340447769,5.451533351252973,12.43417473842027,1.9194034124495976,-1.738444576238664,0.0,896.4901357607455,885.0973059949562,895.5375508762928,897.4434861144143
7,0.6000000000000002,1155.7600649619476,0.566473938125061,2.3280208664637443,15.49539137873371,1.1160211650341,5.6640328596710035,0.0,4.103313461381842,10.862653566788518,14.939711527856828,1.766134590549084,-1.878440374250037,0.0,900.1723575731186,896.7467727020772,898.0830460079318,898.029019385876
7,0.8000000000000004,865.7608029066018,1.8434203192713658,5.000134338154091,18.524168882885505,1.4587688466071675,5.299015422215838,0.0,8.906149753291343,15.656869215834163,15.052953891231596,1.6448871601154704,-1.7696975294133344,0.0,900.1076669226126,899.6612862623244,898.5227960708637,898.5942498683223
7,1.0000000000000004,706.4619038202578,4.20274247491349,8.48973117012257,21.4440209908932,1.7685360029385464,4.963749822102262,0.0,14.790072398015155,18.96775823502171,14.083006012741606,1.4055208276719267,-1.5860184079062143,0.0,900.1764863889086,900.9081682922281,900.6995834422773,899.0334195954381
7,1.2000000000000006,600.4422729250614,7.767843926952364,12.491206959122525,24.170677511531753,2.0443824402021846,4.678633054348108,0.0,20.79898637566656,20.877310027587832,13.28557659363472,1.3464797685872882,-1.2864531755935782,0.0,899.0788835435501,901.6113406076371,900.3054175322942,900.5846884427071
7,1.4000000000000008,519.837830780885,12.469536536955806,16.809285729109313,26.80973634343889,2.3003075005434344,4.4375926696677865,0.0,26.048910248590296,22.318210839512524,13.226936926139304,1.1870622900862688,-1.1237913621775726,0.0,899.1570621709498,900.3654465331923,899.9283553255904,898.8401751277157
7,1.600000000000001,453.60773915670205,18.116687563353956,21.454700009148898,29.495497661638254,2.523007366110967,4.21213794158921,0.0,30.263992861226043,24.2820337401974,13.665822023222184,1.0091622642488645,-1.131423019725337,0.0,900.9624321065037,900.2084636441148,901.1111533014744,899.5877915735508
7,1.8000000000000012,396.8405449411563,24.531325804289946,26.594041590060815,32.27072131503253,2.716837720707222,3.992646000780166,0.0,33.835355056242655,27.308259667402638,14.031422123970259,0.916955241903142,-1.0600445721304264,0.0,899.7521284375495,899.9911651702795,900.1160064239409,899.4796743646483
7,2.0000000000000013,346.75312874577037,31.655120810490256,32.46309772554481,35.07042597085571,2.9035013714068327,3.794678569877046,0.0,37.45674648857828,31.60553065331485,13.82500716576158,0.9521047636513983,-0.9175866742003287,0.0,899.8562680387668,901.0729406593983,899.4086306354425,900.2854775165397
7,2.2000000000000015,301.1206906696327,39.55555248839428,39.330315812293094,37.72201765861738,3.086127382675288,3.622997951929264,0.0,41.71970917486017,37.30409130551524,12.457333525483328,0.862324770420748,-0.7959665834031932,0.0,899.846840479524,900.9412274243133,900.5666788511072,899.9044972496578
7,2.4000000000000017,258.0831531027201,48.45201992366344,47.487698858425844,39.94727334876347,3.24998399915067,3.4755960734383624,0.0,47.630987229713796,44.55390713130449,9.514653776589578,0.7624339730367927,-0.674572216384752,0.0,897.9940722885196,899.1906202120084,900.7106717433825,899.8397192358335
7,2.600000000000002,215.50701388177637,58.83012378028368,57.29457985055902,41.40329966843118,3.384949122920169,3.3494231828114884,0.0,56.91856364420525,53.98097009251502,4.731941934793778,0.543387759257424,-0.5830189165470304,0.0,898.8627624897945,899.7734610302415,900.7681420557782,898.3297224194628
7,2.800000000000002,170.54293464317024,71.67776791301269,69.36242848489395,41.71346911924212,3.473089293846048,3.23736358555691,0.0,73.20182228286782,67.73861290361414,-1.9479896080562693,0.2777247825226819,-0.5342781393584702,0.0,899.7056423918602,900.1406273823278,902.0649364513123,898.9287027230637
