episode,time,reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1,0.12000000000000001,0.006463134819424275,-2.568410947735991e-06,5.579073572357451e-07,0.01706296895482348,6.844836399100274e-05,0.0003108398005426949,0.0,-0.00010183673517427709,2.2271490806267485e-05,0.284310045964609,0.0013659975817094197,0.00615417691046563,0.0,449.9812739455536,450.23020640300905,450.0542983382394,450.1095531752977
1,0.23999999999999996,0.007405450266180809,-5.1657466154418075e-05,2.2783937719718147e-05,0.06844816893661078,0.0013745207142896732,0.00013998508137547105,0.0,-0.0007202467678021424,0.0006057418437024994,0.5718799695061915,0.023399877841199613,-0.012621832886948786,0.0,450.7072739083281,449.94802807651286,450.70436477792276,451.59366916758347
1,0.36000000000000004,0.008555786031427422,-0.00010913640586668745,0.0003823639119316447,0.15483021452254217,0.01345060458163605,6.275160513013855,0.0,0.001235381711546511,0.00791285241325504,0.867404066131074,0.17189493153810315,-0.21111665496286272,0.0,454.56343469407767,446.52934202505907,450.958820338051,456.9237377133099
1,0.48000000000000015,0.008801551829096841,0.00903989452053657,-0.00208872929131529,0.21820376411490697,0.9336506914112643,5.29995251010034,0.0,0.07346671946667357,-0.25295141987172515,-0.25973704269291653,-3.431024231815583,-15.101061310858604,0.0,807.8242983358812,212.93067917602662,734.7150013398882,637.0170452351362
1,0.6000000000000002,0.004485861227432642,0.14227461831019944,0.04136102212457182,0.1835364658248032,0.5148778382067958,4.736714911439094,0.0,2.2224210139413745,0.8207056537775498,-0.3567312478243752,-3.8502594455867056,-19.176726669451124,0.0,751.247600547846,359.2141441818717,640.6684917702258,618.4980359939841
1,0.7200000000000003,0.004740629302289948,0.5607438265577566,0.11753337127961025,0.0666996495327744,1.6367535526988313,3.2640195878796376,0.0,4.518077730369526,-0.03133854752151216,-1.6183479864605381,-8.519222969468927,-22.506914990194005,0.0,784.6121922106058,261.54264713745494,711.1788274774141,547.6588229385623
1,0.8400000000000004,0.004544104836009378,1.0463984144282172,0.009318983701624532,0.0,0.7584928727028251,0.626318887289222,0.0,3.0914069806185487,-1.0830597128048445,-2.755345194053929,-10.182614998872614,-21.956182255526585,0.0,739.9263860456887,294.3693736340669,656.6372059380406,535.2273243816034
2,0.12000000000000001,0.006462966092309067,-7.945733272518134e-08,1.3467876451655318e-06,0.016996229688984645,0.0001644560918778737,9.789064383980417e-06,0.0,-3.1772993317546016e-06,5.361677508376373e-05,0.2831982663925629,0.0032715915897147175,0.0001957385181543973,0.0,450.0540142930238,450.0619323078866,449.7207101514618,449.8531351258287
2,0.23999999999999996,0.0074041943870303325,7.936863185771082e-06,4.4957949728994216e-05,0.06809439058498891,0.0021446039131909345,6.281903384746197,0.0,0.000377418164498963,0.0010705911110627379,0.5682107160933351,0.033498271184185,-0.02737492167622983,0.0,450.7449435083605,449.6297475920897,449.8881628107097,451.1099915978031
2,0.36000000000000004,0.0064352552632502644,0.0071638282541848465,-0.013756248056316785,0.09452981756811173,4.480289531850355,5.131567661726097,0.0,0.006148352591966985,0.12450784194864092,-0.23149708683674997,-7.599932904905277,-14.841874216064635,0.0,804.1549092927816,213.23633964770272,758.8915842083208,531.8099444030962
2,0.48000000000000015,0.002857500314242737,0.1277837932797727,-0.10981051762761608,0.0,5.0300198409656645,5.1686821769120606,0.0,1.9188854215536113,-1.8321926410099074,-1.3262720227009008,-3.7339875954942836,-19.683473055340535,0.0,780.0332071715217,374.8117891528278,594.1156389125043,677.4206653178054
3,0.12000000000000001,0.006463189045709319,7.075925647868506e-07,-3.670865700156685e-06,0.01708441785206095,6.282720240614328,6.283097720492911,0.0,2.8375992755582e-05,-0.00014894511845476327,0.2846673478203533,-0.009450834356481395,-0.0017570565207126686,0.0,450.1188974750512,450.0478242733795,450.40549502589005,450.02329861589055
3,0.23999999999999996,0.0033015988344922455,0.01348829748910165,-4.5622983965134745e-05,0.012291421651219929,6.274122636367952,6.079691030037377,0.0,0.32998718918126263,0.0010035018352392592,-0.8842065015215357,-0.2842946381140549,-15.193935302666578,0.0,848.4027703542466,319.12923917400514,710.6199034089509,703.5275630663951
3,0.36000000000000004,0.001859814290295122,-0.039788124139469326,0.009236626354741128,0.0,0.8920520657091551,1.16992837617555,0.0,-1.8032927983450884,0.18791802180208758,-0.870868072205075,2.7758927022955837,-21.46999744478578,0.0,820.9427377014998,337.9360049687999,609.2033948254156,695.8893965287216
4,0.12000000000000001,0.006463204494636861,-5.8340706107384125e-06,3.3557497846124735e-06,0.01709052831519113,0.0004039408007425749,0.0006916808045733802,0.0,-0.00022902011540053112,0.00013272026038752466,0.28476911572887365,0.007973446272301692,0.013529225775062336,0.0,450.02374287869145,450.5707859367119,449.87047815797035,450.1930559067675
4,0.23999999999999996,0.007405578276886917,-0.00012308377647758152,8.215495830970272e-05,0.0684397833415405,0.002072467797709976,0.0013655783433028645,0.0,-0.001931226210881626,0.001542987165533965,0.5708226560964939,0.021884696852649585,-0.0061065399991215834,0.0,450.7886722968794,449.99468738338567,450.33808084740207,450.9001632582306
4,0.36000000000000004,0.008555436365553714,-0.0004509841206211702,0.0005921428857178086,0.15475225676068496,0.012402539200350837,6.277213984567561,0.0,-0.002250426190873243,0.009118082192657334,0.8673050609071098,0.14896293620846884,-0.2019667613687302,0.0,455.2284840203973,447.3150475483745,450.9597623339631,456.0682447092879
