time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.19999999999999998,0.0001316570740574313,-0.00018949406484003055,10.09376693053333,6.277432677037368,6.279261236698119,0.0,0.0029773250599524704,-0.00432575677135307,0.9363343974853722,-0.06634301186817311,-0.04470451521765568,0.0,492.48785826397784,491.494956628922,491.07210929036466,489.593215753899
0.4000000000000001,0.0025331731784551635,-0.003958307892030208,10.398807701881456,6.26645156183001,6.276039797686444,0.0,0.02298723869822705,-0.039107099784119706,2.1083755939312487,-0.04129293722126996,0.016740880262758672,0.0,511.7328111219508,513.0430107113482,512.1066352574608,512.6392084810802
0.6000000000000002,0.008867261925671614,-0.01646035509687587,10.874698238796652,6.261400636249379,6.2727910019170885,0.0,0.04134565683636161,-0.08806129828419677,2.6463499566213695,-0.0063394951595621765,-0.05980178629080904,0.0,461.3361497263576,459.5191648135601,461.1717855183776,461.9990767536539
0.8000000000000004,0.020456682499355516,-0.03933402671459758,11.437875387016692,6.253812398705138,6.255317974345594,0.0,0.08088082740476035,-0.14319859096379758,2.98216581665188,-0.07950492980115755,-0.12320630481016845,0.0,446.09487069414126,444.53208530160293,444.700528257839,442.89766243246027
1.0000000000000004,0.04423867385818004,-0.07509537666600502,12.053668125343295,6.244885151275881,6.227523443353389,0.0,0.16661396972761944,-0.21777362037305992,3.173283051879646,-0.00513520385616522,-0.158874157298163,0.0,434.2917899358145,433.3746704998081,430.2712976569293,432.15422164795774
1.2000000000000006,0.09129255178709858,-0.126820475507851,12.706713352539932,6.2484214486845175,6.202496972768069,0.0,0.31289595509037266,-0.29831864144594933,3.3545408690834133,0.04421007042123089,-0.08690657205965288,0.0,431.7185947949781,433.5210395049776,432.92639366960304,434.17037961497914
1.4000000000000008,0.1745663836618012,-0.19438459314073867,13.421127960534466,6.251852143747232,6.181185641720759,0.0,0.5275961553487895,-0.375554476580769,3.7837013300515787,-0.018063049767445778,-0.13161336566300189,0.0,458.84380657908247,457.76790255892183,459.58733508248423,458.10436116789674
1.600000000000001,0.30990787855754176,-0.27801376852875476,14.254688442587263,6.258329744667577,6.160258878516103,0.0,0.8342288791296278,-0.45799556677379244,4.5401972828484345,0.08779047729059206,-0.07361684160684204,0.0,490.88141339003954,492.16209661320147,491.24372621951056,493.5940400447545
1.8000000000000012,0.5023488760734621,-0.37344015013019577,15.16975134245235,0.003191966776089572,6.157875155641841,0.0,1.0911102780540556,-0.4873095703123358,4.609047225587874,0.1974334976720543,0.05435747249316091,0.0,432.3274010604958,435.549830731285,431.91258600605113,434.69723122136946
2.0000000000000013,0.7397823293983119,-0.4688189293126947,16.052373524522483,0.0395061394683367,6.164153615367102,0.0,1.281892518783832,-0.45693413495233615,4.222855879904225,0.16156930498914987,0.0018077456728485836,0.0,385.7157311281574,384.22454867317896,387.10421454414,386.12761744161776
2.2000000000000015,1.0209199883619622,-0.5501649159044704,16.9097778863793,0.07321283339787588,6.161596829944877,0.0,1.5297243556145554,-0.3451189318132294,4.348521781460913,0.17687548805468817,-0.031222852037848373,0.0,437.7019132296906,436.8763951891275,436.2257716654926,436.63683646834596
2.4000000000000017,1.3547462382470934,-0.6000974153968346,17.814419927603986,0.10854766398372373,6.167225217976405,0.0,1.8057873210950985,-0.14121290536382147,4.691560682303984,0.17642917907094713,0.09219761786317679,0.0,457.83491856683474,460.7728238597717,460.2170882032438,460.2353986594232
2.600000000000002,1.7402425320587809,-0.6021291072051043,18.780532724952756,0.13122999050331163,6.182563920396149,0.0,2.04225878716872,0.1294492572368803,4.964519976979819,0.023667505786340012,0.057097254517542946,0.0,456.7108499740642,455.8746524243857,458.47780833267586,454.83354855180266
2.800000000000002,2.168812831883935,-0.5474946400079291,19.79288328612639,0.13901629183968378,6.192754928433494,0.0,2.238819552448302,0.41922219959030954,5.155217727942498,0.05695663031902395,0.043351964266543946,0.0,452.05333991422725,451.7225062811823,450.3205014700495,451.1285419513904
3.000000000000002,2.6331247512275655,-0.4351909813532829,20.828193251207786,0.14010814747186728,6.193210567701517,0.0,2.4032356081695516,0.7044386783399195,5.196252453841774,-0.06583345226716879,-0.053077285843004134,0.0,440.46561418529103,438.0662454259072,439.76824007794346,436.70585862711977
3.2000000000000024,3.133145483768212,-0.2638263497376006,21.89252429799995,0.1311545891109187,6.172035482016682,0.0,2.60351931139694,1.0048111816186611,5.440809922849809,-0.02020333462185852,-0.1790137798285554,0.0,461.99790665941805,458.9972424148597,458.7433146747512,459.8279006028777
3.4000000000000026,3.678929582748036,-0.034336823559912445,23.00484694066811,0.11811440002085938,6.144255600233093,0.0,2.863785311971074,1.2845453707622239,5.675139927303279,-0.1263595265542695,-0.09406066127056946,0.0,461.5452292298041,463.5345309542829,464.5024900053086,461.99354558366997
3.6000000000000028,4.282015211905506,0.24694479826567722,24.164191680261865,0.09430362826980598,6.123401086543868,0.0,3.173179646291464,1.5183617133515126,5.911700246679294,-0.11029646736115158,-0.1170113722273852,0.0,467.73544994409104,467.1898532150465,465.89019921721103,466.25484232983257
3.800000000000003,4.952843395976439,0.5701317477189783,25.378156796202884,0.06842296602607334,6.0991614042296085,0.0,3.542188548269538,1.7026292259457314,6.21876722105356,-0.1537193950088289,-0.12634753223166248,0.0,477.0254583185681,476.7993015520677,478.287946455063,477.2802296461347
